# Generated: 2026-09-22T02:39:34.545297

📺央视频道,#genre#
CCTV-1,http://45.192.97.170:8880/play/1.m3u8
CCTV-2,http://45.192.97.170:8880/play/2.m3u8
CCTV-3,http://69.30.245.50/live/cctv3.m3u8
CCTV-4,http://69.30.245.50/live/cctv4.m3u8
CCTV-5,http://69.30.245.50/live/cctv5.m3u8
CCTV-5+,http://45.192.97.170:8880/play/6.m3u8
CCTV-6,http://69.30.245.50/live/cctv6.m3u8
CCTV-7,http://69.30.245.50/live/cctv7.m3u8
CCTV-8,http://69.30.245.50/live/cctv8.m3u8
CCTV-9,http://69.30.245.50/live/cctv9.m3u8
CCTV-10,http://69.30.245.50/live/cctv10.m3u8
CCTV-11,http://45.192.97.170:8880/play/12.m3u8
CCTV-12,http://45.192.97.170:8880/play/13.m3u8
CCTV-13,http://45.192.97.170:8880/play/14.m3u8
CCTV-14,http://45.192.97.170:8880/play/15.m3u8
CCTV-15,http://45.192.97.170:8880/play/16.m3u8
CCTV-16,http://183.11.239.36:808/hls/169/index.m3u8
CCTV-17,http://45.192.97.170:8880/play/17.m3u8
CCTV-8K,http://192.151.150.154/live/cctv8k.m3u8
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
CHC动作电影,http://120.198.86.186:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8
CGTN Documentary,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8
CGTN French,http://145.239.5.177/214/index.m3u8
CGTN Global Biz,https://fastlive.cctvplus.com/out/v1/2b3d8a0c805d437f9dc85b764c2ac599/index.m3u8
CGTN-Documentary,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8
CGTN西语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN记录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN阿语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
中央电视塔东,https://gcalic.v.myalicdn.com/gc/ztd_1/index.m3u8
中央电视塔南,https://gcalic.v.myalicdn.com/gc/ztn_1/index.m3u8

📡卫视频道,#genre#
河北卫视,http://113.57.140.161:10081/newlive/live/hls/33/live.m3u8
辽宁卫视,https://stream2.jlntv.cn/sptv/sd/live.m3u8
吉林卫视,https://stream2.jlntv.cn/sptv/sd/live.m3u8
东方卫视,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
江苏卫视,http://218.13.138.139:59901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
安徽卫视,http://gmxw.7766.org:808/hls/40/index.m3u8
江西卫视,http://112.27.5.218:9901/tsfile/live/faacts/0138_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,https://stream2.jlntv.cn/sptv/sd/live.m3u8
河南卫视,http://111.59.139.82:11888/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,https://stream2.jlntv.cn/sptv/sd/live.m3u8
深圳卫视,http://gmxw.7766.org:808/hls/45/index.m3u8
海南卫视,http://112.234.22.76:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
西藏卫视,https://stream2.jlntv.cn/sptv/sd/live.m3u8
甘肃卫视,https://stream2.jlntv.cn/sptv/sd/live.m3u8
新疆卫视,https://stream2.jlntv.cn/sptv/sd/live.m3u8
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
安多卫视,https://stream2.jlntv.cn/sptv/sd/live.m3u8
1987年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
1988年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
1989年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5194620763762726260_hlsb.m3u8
2024年春晚,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
ABN China,https://mediaserver.abnvideos.com/streams/abnchina.m3u8
Anhui TV,https://restream.pdtvhd.com/memfs/c1cd2ed0-3b2b-4c25-af98-a7fb0b1eb130.m3u8
Arirang,https://stream2.jlntv.cn/sptv/sd/live.m3u8
Baicheng TV [Geo-blocked],https://stream2.jlntv.cn/baicheng1/sd/live.m3u8
Beautiful Life TV,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
Bread TV,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
Bread TV面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
CHC电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CND Film Middle School Channel,http://live-play.zxstv.com.cn/zhongxuesheng/zhongxuesheng.m3u8
Chifeng Comprehensive News Chanel,http://play1-qk.nmtv.cn/live/1735546697341033.m3u8
China Travel,https://fastlive.cctvplus.com/out/v1/ca6f9297b7314a63959435028af287fc/index.m3u8
Chuxiong News Channel [Not 24/7],https://stream2.jlntv.cn/sptv/sd/live.m3u8
Dali TV,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
Discovering China,https://fastlive.cctvplus.com/out/v1/8442c3bfd4c64a3984389328f6087879/index.m3u8
Dragon TV International,https://restream.pdtvhd.com/memfs/0b1b95c9-3543-4af9-9fdb-cf45f1602f17.m3u8
Good,https://live.streamingfast.net/osmflivech1.m3u8
Good 2,https://live.streamingfast.net/osmflivech2.m3u8
Guangdong Satellite TV,https://h5cul1yar48um3t.wcetv.com/hls/gdsatellite.m3u8
Guangxi Variety & Travel Channel,http://111.59.24.227:8181/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
Guangzhou TV,https://stream2.jlntv.cn/sptv/sd/live.m3u8
Harbin Comprehensive News Channel,https://stream.hrbtv.net/xwzh/playlist.m3u8?_upt=ef41dd531755913594
Harbin Movie Channel,https://stream.hrbtv.net/yspd/playlist.m3u8
Hebei TV,https://restream.pdtvhd.com/memfs/1db8c005-9365-4b32-94a4-3736987b5646.m3u8
Home Plus,https://homeplushls.wns.live/hls/stream.m3u8
HomePlus,https://homeplushls.wns.live/hls/stream.m3u8
Hunan TV,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
Jiangsu Public & News Channel,https://stream2.jlntv.cn/sptv/sd/live.m3u8
Kangba TV,http://110.185.237.164:8888/hls/30/index.m3u8
Lanzhou Comprehensive News Channel,https://liveplus.lzr.com.cn/xwzh/HD/live.m3u8
Nei Monggol TV 2 Mongolian Culture Channel [Not 24/7],http://play1-qk.nmtv.cn/live/1769652109096027.m3u8
Nei Monggol TV [Not 24/7],http://play1-qk.nmtv.cn/live/1769652018126032.m3u8
Newsmax,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
Pet Club TV,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-petclub-samsungnz/playlist.m3u8
QTV-1,http://video10.qtv.com.cn/drm/qtv1at/manifest.m3u8
QTV-2,http://video10.qtv.com.cn/drm/qtv2at/manifest.m3u8
QTV-4,http://video10.qtv.com.cn/drm/qtv4at/manifest.m3u8
QTV-6,http://video10.qtv.com.cn/drm/qtv6at/manifest.m3u8
RT Arabic,https://rt-arb.rttv.com/dvr/rtarab/playlist_4500Kb.m3u8
