
# ========== 智能补充分类 ==========

📻 网络电台,#genre#
广东音乐,http://45.192.97.170:8880/play/5971.m3u8
广东2,http://45.192.97.170:8880/play/5972.m3u8
广东汽车,http://45.192.97.170:8880/play/5973.m3u8
香港第三台,http://45.192.97.170:8880/play/5974.m3u8
亚洲经典,http://45.192.97.170:8880/play/5975.m3u8
亚洲热歌,http://45.192.97.170:8880/play/5976.m3u8
亚洲粤语,http://45.192.97.170:8880/play/5977.m3u8
亚洲天空,http://45.192.97.170:8880/play/5978.m3u8
亚洲音乐,http://45.192.97.170:8880/play/5979.m3u8
澳门绿坉,http://45.192.97.170:8880/play/5980.m3u8
重庆音乐,http://45.192.97.170:8880/play/5981.m3u8
江苏音乐,http://45.192.97.170:8880/play/5982.m3u8
广西音乐,http://45.192.97.170:8880/play/5983.m3u8
陕西音乐,http://45.192.97.170:8880/play/5984.m3u8
香港古典音乐,http://45.192.97.170:8880/play/5985.m3u8
四川音乐,http://45.192.97.170:8880/play/5986.m3u8
贵州音乐,http://45.192.97.170:8880/play/5987.m3u8
湖北音乐,http://45.192.97.170:8880/play/5988.m3u8
吉林音乐,http://45.192.97.170:8880/play/5989.m3u8
江西音乐,http://45.192.97.170:8880/play/5990.m3u8
山西音乐,http://45.192.97.170:8880/play/5991.m3u8
福建音乐,http://45.192.97.170:8880/play/5992.m3u8
河北音乐,http://45.192.97.170:8880/play/5993.m3u8
浙江音乐,http://45.192.97.170:8880/play/5994.m3u8
CRI环球资讯广播,http://45.192.97.170:8880/play/5995.m3u8
CRI华语环球广播,http://45.192.97.170:8880/play/5996.m3u8
CRI英语环球广播 China Plus Radio,http://45.192.97.170:8880/play/5997.m3u8
CRI南海之声,http://45.192.97.170:8880/play/5998.m3u8
CRI粤语国际,http://45.192.97.170:8880/play/5999.m3u8
CNR中国之声,http://45.192.97.170:8880/play/6000.m3u8
CNR经济之声,http://45.192.97.170:8880/play/6001.m3u8
上海长三角之声,http://45.192.97.170:8880/play/6002.m3u8
上海第一财经广播,http://45.192.97.170:8880/play/6003.m3u8
江苏新闻综合广播,http://45.192.97.170:8880/play/6004.m3u8
江苏文艺广播,http://45.192.97.170:8880/play/6005.m3u8
江苏财经广播,http://45.192.97.170:8880/play/6006.m3u8
安徽之声,http://45.192.97.170:8880/play/6007.m3u8
安徽生活广播·城市之声,http://45.192.97.170:8880/play/6008.m3u8
安徽戏曲广播·动听995,http://45.192.97.170:8880/play/6012.m3u8
江西都市广播,http://45.192.97.170:8880/play/6018.m3u8
陕西交通广播,http://45.192.97.170:8880/play/6023.m3u8
浙江城市之声,http://45.192.97.170:8880/play/6033.m3u8
浙江旅游之声,http://45.192.97.170:8880/play/6034.m3u8
宁波新闻综合广播,http://45.192.97.170:8880/play/6035.m3u8
宁波交通广播,http://45.192.97.170:8880/play/6036.m3u8
宁波经济广播,http://45.192.97.170:8880/play/6037.m3u8
四川经济广播,http://45.192.97.170:8880/play/6038.m3u8
四川文艺广播,http://45.192.97.170:8880/play/6039.m3u8
四川旅游生活广播,http://45.192.97.170:8880/play/6040.m3u8
四川交通广播,http://45.192.97.170:8880/play/6041.m3u8
四川综合广播四川之声,http://45.192.97.170:8880/play/6042.m3u8
四川私家车广播,http://45.192.97.170:8880/play/6043.m3u8
贵州经济广播,http://45.192.97.170:8880/play/6044.m3u8
贵州旅游广播,http://45.192.97.170:8880/play/6045.m3u8
贵州故事广播,http://45.192.97.170:8880/play/6046.m3u8
贵州综合广播,http://45.192.97.170:8880/play/6047.m3u8
延边文艺生活广播,http://45.192.97.170:8880/play/6048.m3u8
辽宁之声,http://45.192.97.170:8880/play/6049.m3u8
辽宁乡村广播,http://45.192.97.170:8880/play/6050.m3u8
辽宁经济广播,http://45.192.97.170:8880/play/6051.m3u8
辽宁交通广播,http://45.192.97.170:8880/play/6052.m3u8
黑龙江都市女性广播,http://45.192.97.170:8880/play/6053.m3u8
黑龙江高校广播,http://45.192.97.170:8880/play/6054.m3u8
黑龙江老年少儿广播·爱家调频,http://45.192.97.170:8880/play/6055.m3u8
内蒙古农村牧区广播绿野之声,http://45.192.97.170:8880/play/6057.m3u8
内蒙古新闻广播,http://45.192.97.170:8880/play/6058.m3u8
内蒙古经济生活广播,http://45.192.97.170:8880/play/6059.m3u8
内蒙古评书曲艺广播,http://45.192.97.170:8880/play/6060.m3u8
内蒙古蒙语对外广播草原之声,http://45.192.97.170:8880/play/6061.m3u8
内蒙古蒙语新闻综合广播,http://45.192.97.170:8880/play/6062.m3u8
锡林郭勒蒙语广播,http://45.192.97.170:8880/play/6064.m3u8
阿拉善蒙语广播,http://45.192.97.170:8880/play/6066.m3u8
呼伦贝尔汉语广播,http://45.192.97.170:8880/play/6067.m3u8
呼伦贝尔蒙语广播,http://45.192.97.170:8880/play/6068.m3u8
新疆私家车广播,http://45.192.97.170:8880/play/6069.m3u8
甘肃经济广播,http://45.192.97.170:8880/play/6070.m3u8
广西教育广播,http://45.192.97.170:8880/play/6071.m3u8
广西综合广播,http://45.192.97.170:8880/play/6072.m3u8
云南民族广播,http://45.192.97.170:8880/play/6079.m3u8
云南国际广播,http://45.192.97.170:8880/play/6080.m3u8
云南教育广播·知道分子,http://45.192.97.170:8880/play/6081.m3u8
宁夏经济广播,http://45.192.97.170:8880/play/6082.m3u8
宁夏新闻广播,http://45.192.97.170:8880/play/6083.m3u8
宁夏旅游广播,http://45.192.97.170:8880/play/6084.m3u8
青海新闻综合广播,http://45.192.97.170:8880/play/6085.m3u8
青海经济广播,http://45.192.97.170:8880/play/6086.m3u8
开州之声,http://45.192.97.170:8880/play/6087.m3u8
NPR·KJZZ,http://45.192.97.170:8880/play/6088.m3u8
NPR·WBEZ,http://45.192.97.170:8880/play/6089.m3u8
NPR·MPR News,http://45.192.97.170:8880/play/6090.m3u8
NPR·WOSU,http://45.192.97.170:8880/play/6091.m3u8
NPR·KQED,http://45.192.97.170:8880/play/6092.m3u8
CRI HIT FM,http://45.192.97.170:8880/play/6093.m3u8
CRI HIT FM,http://45.192.97.170:8880/play/6094.m3u8
陕西音乐广播,http://45.192.97.170:8880/play/6095.m3u8
陕西青少广播·好听1055,http://45.192.97.170:8880/play/6096.m3u8
安徽音乐广播,http://45.192.97.170:8880/play/6099.m3u8
宁波音乐广播,http://45.192.97.170:8880/play/6100.m3u8
湖南文艺广播·摩登音乐台,http://45.192.97.170:8880/play/6101.m3u8
内蒙古音乐之声,http://45.192.97.170:8880/play/6102.m3u8
湖北经典音乐广播,http://45.192.97.170:8880/play/6103.m3u8
甘肃青春调频,http://45.192.97.170:8880/play/6104.m3u8
